date,close
1-Feb-90,1
1-May-90,2
1-Jun-90,9
1-Sep-90,7
1-Oct-90,1
1-Feb-91,2
1-Mar-91,3
1-Apr-91,3
1-May-91,4
1-Jun-91,4
1-Jul-91,12
1-Sep-91,2
1-Oct-91,6
1-Nov-91,13
1-Feb-92,12
1-Mar-92,10
1-May-92,2
1-Jun-92,41
1-Jul-92,24
1-Sep-92,25
1-Oct-92,3
1-Nov-92,7
1-Feb-93,7
1-Mar-93,5
1-May-93,12
1-Jun-93,4
1-Jul-93,1
1-Sep-93,16
1-Oct-93,4
1-Nov-93,13
1-Feb-94,9
1-Mar-94,33
1-May-94,2
1-Jul-94,5
1-Sep-94,2
1-Oct-94,5
1-Nov-94,5
1-Feb-95,4
1-Mar-95,31
1-May-95,8
1-Jun-95,6
1-Jul-95,13
1-Sep-95,22
1-Oct-95,5
1-Nov-95,7
1-Feb-96,9
1-May-96,5
1-Jun-96,18
1-Jul-96,3
1-Sep-96,9
1-Oct-96,8
1-Nov-96,14
1-Feb-97,32
1-Mar-97,2
1-May-97,3
1-Jun-97,11
1-Jul-97,3
1-Sep-97,11
1-Oct-97,3
1-Nov-97,6
1-Feb-98,6
1-May-98,9
1-Jun-98,5
1-Jul-98,7
1-Sep-98,4
1-Oct-98,4
1-Nov-98,10
1-Mar-99,10
1-May-99,9
1-Jun-99,4
1-Jul-99,5
1-Sep-99,4
1-Oct-99,1
1-Nov-99,3
1-Feb-00,7
1-Mar-00,20
1-May-00,4
1-Jun-00,22
1-Jul-00,8
1-Sep-00,7
1-Oct-00,12
1-Nov-00,14
1-Feb-01,11
1-Mar-01,23
1-May-01,20
1-Jun-01,52
1-Jul-01,42
1-Sep-01,24
1-Oct-01,34
1-Nov-01,16
1-Feb-02,43
1-Mar-02,56
1-May-02,93
1-Jun-02,20
1-Jul-02,34
1-Sep-02,61
1-Oct-02,65
1-Nov-02,51
1-Feb-03,70
1-Mar-03,96
1-May-03,63
1-Jun-03,78
1-Jul-03,67
1-Sep-03,57
1-Oct-03,87
1-Nov-03,50
1-Feb-04,71
1-Mar-04,89
1-May-04,60
1-Jun-04,88
1-Jul-04,97
1-Sep-04,74
1-Oct-04,96
1-Nov-04,53
1-Feb-05,128
1-Mar-05,86
1-May-05,131
1-Jun-05,101
1-Jul-05,100
1-Sep-05,73
1-Oct-05,97
1-Nov-05,80
1-Feb-06,137
1-Mar-06,151
1-May-06,142
1-Jun-06,64
1-Jul-06,98
1-Sep-06,109
1-Oct-06,87
1-Nov-06,65
1-Feb-07,103
1-Mar-07,127
1-May-07,95
1-Jun-07,75
1-Jul-07,70
1-Sep-07,74
1-Oct-07,83
1-Nov-07,59
1-Feb-08,143
1-Mar-08,81
1-May-08,58
1-Jun-08,80
1-Jul-08,66
1-Sep-08,59
1-Oct-08,82
1-Nov-08,50
1-Feb-09,55
1-Mar-09,96
1-May-09,63
1-Jun-09,80
1-Jul-09,55
1-Sep-09,76
1-Oct-09,47
1-Nov-09,38
1-Feb-10,29
1-Mar-10,61
1-May-10,50
1-Jun-10,52
1-Jul-10,39
1-Sep-10,36
1-Oct-10,83
1-Nov-10,62
1-Feb-11,56
1-Mar-11,67
1-May-11,40
1-Jun-11,68
1-Jul-11,49
1-Sep-11,34
1-Oct-11,31
1-Nov-11,40
1-Feb-12,87
1-Mar-12,55
1-May-12,43
1-Jun-12,66
1-Jul-12,39
1-Sep-12,52
1-Oct-12,40
1-Nov-12,48
1-Feb-13,63
1-Mar-13,40
1-May-13,59
1-Jun-13,45
1-Jul-13,36
1-Sep-13,26
1-Oct-13,25
1-Nov-13,21
1-Feb-14,20
1-Mar-14,41
1-May-14,60
1-Jun-14,16
1-Jul-14,19
1-Sep-14,15
1-Oct-14,20
1-Nov-14,21
1-Feb-15,11
1-Mar-15,31
1-May-15,22
1-Jun-15,13
1-Jul-15,34
1-Sep-15,6
1-Oct-15,17
1-Nov-15,9
1-Feb-16,13
1-Mar-16,16
1-May-16,6
1-Jun-16,6
1-Jul-16,8
1-Sep-16,4
1-Oct-16,1
1-Nov-16,6
1-Feb-17,4
1-Mar-17,4
1-May-17,1
1-Jun-17,3
1-Jul-17,5
